filename,app,screen_type,pattern_label,bias_exploited,severity,notes,nudge_score
angelone_001.jpeg,angelone,explore,FOMO,social_proof,2,Follower counts on popular lists use social proof to influence discovery.,90
angelone_002.jpeg,angelone,portfolio,DEFAULT,default_bias,2,"Large ""ADD FUNDS"" button makes funding the account the primary action.",30
angelone_003.jpeg,angelone,home,DEFAULT,default_bias,2,"""View Status"" banner makes checking application status the primary action.",30
angelone_004.jpeg,angelone,explore,CLEAN,none,0,clean UI,0
angelone_005.jpeg,angelone,home,SCARCITY,scarcity,2,"""Expire today"" banner and trading deadline create urgency to act.",80
angelone_006.jpeg,angelone,home,CLEAN,none,0,clean UI,0
angelone_007.jpeg,angelone,explore,LOSS,loss_aversion,2,"Completed trade prominently highlights a 78.12% profit achieved, anchoring users to strong past returns and encouraging similar trades.",70
angelone_008.jpeg,angelone,fund,ANCHOR,anchoring,2,"Multiple ETF cards prominently display 1-year returns, anchoring users to past performance when choosing investments.",40
angelone_009.jpeg,angelone,fund,ANCHOR,anchoring,2,"'Highest Returns' section prominently displays 1-year returns, anchoring users to past performance when selecting ETFs.",40
angelone_010.jpeg,angelone,fund,ANCHOR,anchoring,2,"ETF cards display 1-year returns across curated categories, anchoring users to historical performance when comparing funds.",40
angelone_011.jpeg,angelone,home,DEFAULT,default_bias,1,default ai helping in stress free training,15
angelone_012.jpeg,angelone,fund,GAMIFY,variable_reward,3,"The SIP calculator frames investing around achieving a ₹1 crore goal, encouraging users to pursue a milestone and start investing.",75
angelone_013.jpeg,angelone,fund,FOMO,social_proof,2,"""Most Bought FDs"" section does contain a FOMO element because it highlights popularity",90
angelone_014.jpeg,angelone,fund,DEFAULT,default_bias,2,"A prominent ‘Invest Now’ banner makes opening an FD the primary action, nudging users toward immediate investment.",30
angelone_015.jpeg,angelone,fund,DEFAULT,default_bias,2,"A prominent ‘Invest Now’ banner makes opening an FD the primary action, nudging users toward immediate investment.",30
angelone_016.jpeg,angelone,fund,CLEAN,none,0,clean UI,0
angelone_017.jpeg,angelone,fund,DEFAULT,default_bias,2,"A prominent ‘Invest Now’ banner makes opening an FD the primary action, nudging users toward immediate investment.",30
groww_001.jpeg,groww,explore,CLEAN,none,0,clean UI,0
groww_002.jpeg,groww,explore,FOMO,social_proof,2,"""Most bought on Groww"" highlights stocks purchased by many users, using social proof to encourage users to consider the same investments.",90
groww_003.jpeg,groww,explore,ANCHOR,anchoring,2,"Popular funds prominently display 3-year historical returns, anchoring users to past performance when evaluating investment options.",40
groww_004.jpeg,groww,explore,CLEAN,none,0,clean UI,0
groww_005.jpeg,groww,explore,SCARCITY,scarcity,3,"NFO listings prominently display closing dates, creating urgency to invest before the offer period ends.",100
groww_006.jpeg,groww,explore,CLEAN,none,0,clean UI,0
groww_007.jpeg,groww,explore,DEFAULT,default_bias,2,"Prominent ""Start a SIP"" button encourages users to begin a monthly investment as the default action.",30
groww_008.jpeg,groww,explore,DEFAULT,default_bias,3,"Large ""Explore Bonds"" CTA makes investing in bonds the default action by prominently promoting a single product.",45
groww_009.jpeg,groww,explore,GAMIFY,variable_reward,2,"Referral page encourages users to invite friends through a reward-based referral program, promoting engagement beyond investing.",50
indmoney_001.jpeg,indmoney,explore,CLEAN,none,0,clean UI,0
indmoney_002.jpeg,indmoney,explore,CLEAN,none,0,clean UI,0
indmoney_003.jpeg,indmoney,onboarding,DEFAULT,default_bias,3,"Large ""Start Investing"" CTA dominates the onboarding card and nudges the user to begin investing as the default action.",45
